"id","sku","slug","source_url","category","product_type","name","brand","format","flavor","flavor_profile","strength","strength_level","strength_mg","nicotine_mg_per_pouch","nicotine_mg_per_g","tobacco_free","weight_g","net_weight_g","pouch_weight_g","portions_per_can","description_short","description","description_it","ingredients","warning_text","image","image_2","image_3","currency","price","compare_at_price","availability","one_time_purchase_available","subscription_available","subscription_interval","pack_2_total_price","pack_2_price_per_can","pack_5_total_price","pack_5_price_per_can","pack_10_total_price","pack_10_price_per_can","pack_30_total_price","pack_30_price_per_can","popularity","is_active","created_at","updated_at","stock_count","enabled"
"","Z-CWM-6","zyn-cool-watermelon-6mg","https://nicoprof.com/product/zyn-cool-watermelon-6mg/","Nicotine Pouches","Pouch","ZYN Cool Watermelon (6mg)","ZYN","","Watermelon","Watermelon","Regular","2","6","6","","true","25","25","1.25","20","ZYN Cool Watermelon (6mg) combines juicy watermelon with a refreshing mint finish in a convenient pouch for a light and satisfying nicotine experience.","ZYN Cool Watermelon (6mg) combines juicy watermelon with a refreshing mint finish in a convenient pouch for a light and satisfying nicotine experience.","","?460 cellulose, ?501 PH-adjustment, Aroma, E1520 humectant, Nicotine, Preservative, Water","This product contains nicotine, an addictive substance.","https://ooxnyaqafspuyqfzociw.supabase.co/storage/v1/object/public/product-images/import/zyn-cool-watermelon-6mg.png","","","EUR","2.15","","in_stock","true","false","","","","","","","","","","80","true","2026-03-04T11:50:06.535Z","2026-03-04T11:50:06.535Z","100","true"
"","Z-CBB-6","zyn-cool-blueberry-6mg","https://nicoprof.com/product/zyn-cool-blueberry-6mg/","Nicotine Pouches","Pouch","ZYN Cool Blueberry (6mg)","ZYN","","Blueberry","Blueberry","Regular","2","6","6","","true","25","25","1.25","20","ZYN Cool Blueberry (6mg) combines fruity blueberry flavor with a cooling menthol twist in a 6mg nicotine pouch, delivering a light and enjoyable escape.","ZYN Cool Blueberry (6mg) combines fruity blueberry flavor with a cooling menthol twist in a 6mg nicotine pouch, delivering a light and enjoyable escape.","","?460 cellulose, ?501 PH-adjustment, Aroma, E1520 humectant, Nicotine, Preservative, Water","This product contains nicotine, an addictive substance.","https://ooxnyaqafspuyqfzociw.supabase.co/storage/v1/object/public/product-images/import/zyn-cool-blueberry-6mg.webp","","","EUR","4.49","","in_stock","true","false","","","","","","","","","","80","true","2026-03-04T11:50:06.535Z","2026-03-04T11:50:06.535Z","100","true"
"","89600207","zyn-cool-mint-6mg","https://nicoprof.com/product/zyn-cool-mint-6mg/","Nicotine Pouches","Pouch","ZYN Cool Mint (6mg)","ZYN","Mini","Mint","Cooling Mint","Regular","2","6","6","","true","25","25","1.25","20","ZYN Cool Mint (6mg) combines fresh mint flavor with a cooling finish in a discreet tobacco-free pouch for everyday use.","ZYN Cool Mint (6mg) combines fresh mint flavor with a cooling finish in a discreet tobacco-free pouch for everyday use.","","?460 cellulose, ?501 PH-adjustment, Aroma, E1520 humectant, Nicotine, Preservative, Water, Е460 cellulose, Е501 PH-adjustment","This product contains nicotine, an addictive substance.","https://ooxnyaqafspuyqfzociw.supabase.co/storage/v1/object/public/product-images/import/zyn-cool-mint-6mg.png","","","EUR","2.15","","in_stock","true","false","","","","","","","","","","80","true","2026-03-04T11:50:06.535Z","2026-03-04T11:50:06.535Z","100","true"
"","Z-SR-6","zyn-sour-ruby-6mg","https://nicoprof.com/product/zyn-sour-ruby-6mg/","Nicotine Pouches","Pouch","ZYN Sour Ruby (6mg)","ZYN","","Sour Berry","Sour Berry","Regular","2","6","6","","true","25","25","1.25","20","ZYN Sour Ruby Medium (6mg) brings a tantalizing blend of sour red fruit flavors with a medium 6mg nicotine strength for a fruity punch that satisfies your cravings.","ZYN Sour Ruby Medium (6mg) brings a tantalizing blend of sour red fruit flavors with a medium 6mg nicotine strength for a fruity punch that satisfies your cravings.","","?460 cellulose, ?501 PH-adjustment, Aroma, E1520 humectant, Nicotine, Preservative, Water","This product contains nicotine, an addictive substance.","https://ooxnyaqafspuyqfzociw.supabase.co/storage/v1/object/public/product-images/import/zyn-sour-ruby-6mg.webp","","","EUR","2.49","","in_stock","true","false","","","","","","","","","","80","true","2026-03-04T11:50:06.535Z","2026-03-04T11:50:06.535Z","100","true"
"","5715345008493","velo-lime-flame-8mg","https://nicoprof.com/product/velo-lime-flame-8mg/","Nicotine Pouches","Pouch","VELO Lime Flame (8mg)","VELO","","Citrus , Lime","Citrus , Lime","Strong","3","8","8","","true","25","25","1.25","20","VELO Lime Flame 8mg blends zesty lime with a subtle chili heat in a smooth, tobacco-free pouch—now available at great prices from Nicoprof.com.","VELO Lime Flame 8mg blends zesty lime with a subtle chili heat in a smooth, tobacco-free pouch—now available at great prices from Nicoprof.com.","","?460 cellulose, ?501 PH-adjustment, Aroma, E1520 humectant, Nicotine, Preservative, Water, Е460 cellulose, Е501 PH-adjustment","This product contains nicotine, an addictive substance.","https://ooxnyaqafspuyqfzociw.supabase.co/storage/v1/object/public/product-images/import/velo-lime-flame-8mg.jpg","","","EUR","3.99","","in_stock","true","false","","","","","","","","","","80","true","2026-03-04T11:50:06.535Z","2026-03-04T11:50:06.535Z","100","true"
"","5715345023724","velo-icy-cherry-10mg","https://nicoprof.com/product/velo-icy-cherry-10mg/","Nicotine Pouches","Pouch","VELO Icy Cherry (10mg)","VELO","Slim","Cherry","Cherry","Strong","3","10","10","","true","25","25","1.25","20","Velo Icy Cherry 10mg combines sweet cherries with a menthol chill in a slim, all-white pouch for a smooth and refreshing nicotine experience. Get it now at great prices from Nicopr","Velo Icy Cherry 10mg combines sweet cherries with a menthol chill in a slim, all-white pouch for a smooth and refreshing nicotine experience. Get it now at great prices from Nicoprof.com.","","?460 cellulose, ?501 PH-adjustment, Aroma, E1520 humectant, Nicotine, Preservative, Water, Е460 cellulose, Е501 PH-adjustment","This product contains nicotine, an addictive substance.","https://ooxnyaqafspuyqfzociw.supabase.co/storage/v1/object/public/product-images/import/velo-icy-cherry-10mg.webp","","","EUR","3.99","","in_stock","true","false","","","","","","","","","","80","true","2026-03-04T11:50:06.535Z","2026-03-04T11:50:06.535Z","100","true"
"","2022950100-1","velo-crispy-peppermint-10mg","https://snuscrew.com/products/velo-crispy-peppermint-10mg","Nicotine Pouches","Nicotine Pouches","VELO Crispy Peppermint (10mg)","VELO","Slim","Peppermint","Peppermint","Strong","3","10","10","14.3","true","14","14","0.7","20","VELO Crispy Peppermint (formerly VELO Ice Cool ) delivers a strong nicotine experience with an icy peppermint flavor and a touch of sweetness . These slim , tobacco-free pouches pr","VELO Crispy Peppermint (formerly VELO Ice Cool ) delivers a strong nicotine experience with an icy peppermint flavor and a touch of sweetness . These slim , tobacco-free pouches provide 10 mg of nicotine per pouch (14.3 mg/g), offering a refreshing and discreet way to enjoy nicotine without the drawbacks of tobacco.","","","This product contains nicotine, an addictive substance.","https://ooxnyaqafspuyqfzociw.supabase.co/storage/v1/object/public/product-images/import/velo-crispy-peppermint-10mg.png","","","EUR","4.91","4.91","in_stock","true","false","","","","","","39.26","3.93","","","80","true","2026-03-04T11:50:06.535Z","2026-03-04T11:50:06.535Z","100","true"
"","5715345023717","velo-blue-raspberry-8mg","https://nicoprof.com/product/velo-blue-raspberry-8mg/","Nicotine Pouches","Pouch","VELO Blue Raspberry (8mg)","VELO","Slim","Blue Raspberry","Blue Raspberry","Strong","3","8","8","","true","25","25","1.25","20","VELO Blue Raspberry 8mg offers a sweet and tangy twist with vibrant berry flavour in a smooth, tobacco-free pouch. Slim, discreet, and satisfying—perfect for users who enjoy a bala","VELO Blue Raspberry 8mg offers a sweet and tangy twist with vibrant berry flavour in a smooth, tobacco-free pouch. Slim, discreet, and satisfying—perfect for users who enjoy a balanced nicotine kick with bold taste.","","?460 cellulose, ?501 PH-adjustment, Aroma, E1520 humectant, Nicotine, Preservative, Water, Е460 cellulose, Е501 PH-adjustment","This product contains nicotine, an addictive substance.","https://ooxnyaqafspuyqfzociw.supabase.co/storage/v1/object/public/product-images/import/velo-blue-raspberry-8mg.webp","","","EUR","3.99","","in_stock","true","false","","","","","","","","","","80","true","2026-03-04T11:50:06.535Z","2026-03-04T11:50:06.535Z","100","true"
"","CBW-16-20-C","cuba-white-cherry-16mg","https://nicoprof.com/product/cuba-white-cherry-16mg/","Nicotine Pouches","Pouch","CUBA White Cherry (16mg)","CUBA","","Cherry","Cherry","Extra Strong","4","16","16","","true","25","25","1.25","20","Savor the sweet cherry kick with CUBA White Cherry Nicotine Pouches. With a mild 16mg strength, enjoy a smooth and fruity hit, entirely tobacco-free.","Savor the sweet cherry kick with CUBA White Cherry Nicotine Pouches. With a mild 16mg strength, enjoy a smooth and fruity hit, entirely tobacco-free.","","?460 cellulose, ?501 PH-adjustment, Aroma, E1520 humectant, Nicotine, Preservative, Water","This product contains nicotine, an addictive substance.","https://ooxnyaqafspuyqfzociw.supabase.co/storage/v1/object/public/product-images/import/cuba-white-cherry-16mg.webp","","","EUR","4.19","","in_stock","true","false","","","","","","","","","","80","true","2026-03-04T11:50:06.535Z","2026-03-04T11:50:06.535Z","100","true"
"","5904717759013","cuba-white-blueberry","https://nicoprof.com/product/cuba-white-blueberry/","Nicotine Pouches","Pouch","CUBA White Blueberry (16mg)","CUBA","","Blueberry","Blueberry","Extra Strong","4","16","16","","true","25","25","1.25","20","Cuba White Blueberry: Enjoy the fresh buzz with Cuba's blueberry-flavored, tobacco-free nicotine pouches. With an impressive 16mg strength, Cuba White Blueberry offers a smooth exp","Cuba White Blueberry: Enjoy the fresh buzz with Cuba's blueberry-flavored, tobacco-free nicotine pouches. With an impressive 16mg strength, Cuba White Blueberry offers a smooth experience for snus lovers seeking relaxation and punch.","","?460 cellulose, ?501 PH-adjustment, Aroma, E1520 humectant, Nicotine, Preservative, Water","This product contains nicotine, an addictive substance.","https://ooxnyaqafspuyqfzociw.supabase.co/storage/v1/object/public/product-images/import/cuba-white-blueberry.webp","","","EUR","4.19","","in_stock","true","false","","","","","","","","","","80","true","2026-03-04T11:50:06.535Z","2026-03-04T11:50:06.535Z","100","true"
"","5905753347462","cuba-white-cold-dry-16mg","https://nicoprof.com/product/cuba-white-cold-dry-16mg/","Nicotine Pouches","Pouch","CUBA White Cold Dry (16mg)","CUBA","","Ice Cold","Ice Cold","Extra Strong","4","16","16","","true","25","25","1.25","20","Cuba White Cold Dry nicotine pouches offer a sharp 16mg nicotine hit with an extra-dry format and crisp mint flavor.","Cuba White Cold Dry nicotine pouches offer a sharp 16mg nicotine hit with an extra-dry format and crisp mint flavor.","","?460 cellulose, ?501 PH-adjustment, Aroma, E1520 humectant, Nicotine, Preservative, Water, Е460 cellulose, Е501 PH-adjustment","This product contains nicotine, an addictive substance.","https://ooxnyaqafspuyqfzociw.supabase.co/storage/v1/object/public/product-images/import/cuba-white-cold-dry-16mg.webp","","","EUR","3.49","","in_stock","true","false","","","","","","","","","","80","true","2026-03-04T11:50:06.535Z","2026-03-04T11:50:06.535Z","100","true"
"","5904717759518","cuba-white-forest-berries-16mg","https://nicoprof.com/product/cuba-white-forest-berries-16mg/","Nicotine Pouches","Pouch","CUBA White Forest Berries (16mg)","CUBA","","Forest Berries","Forest Berries","Extra Strong","4","16","16","","true","25","25","1.25","20","Cuba White Forest Berries nicotine pouches combine sweet, tangy berry flavor with a satisfying 16mg nicotine hit. Smooth and tobacco-free, these discreet pouches offer a flavorful,","Cuba White Forest Berries nicotine pouches combine sweet, tangy berry flavor with a satisfying 16mg nicotine hit. Smooth and tobacco-free, these discreet pouches offer a flavorful, mid-strength buzz perfect for daily use. Fresh, fruity, and ideal for users who want balance without compromise.","","?460 cellulose, ?501 PH-adjustment, Aroma, E1520 humectant, Nicotine, Preservative, Water, Е460 cellulose, Е501 PH-adjustment","This product contains nicotine, an addictive substance.","https://ooxnyaqafspuyqfzociw.supabase.co/storage/v1/object/public/product-images/import/cuba-white-forest-berries-16mg.webp","","","EUR","3.49","","in_stock","true","false","","","","","","","","","","80","true","2026-03-04T11:50:06.535Z","2026-03-04T11:50:06.535Z","100","true"
